label       label2       M*         u_M*
C1          A            18.5       17.3
C2          J            6.5        2.3
C3          B            
C4          D            
C5          F            
C6          C            13.9       4.3
C7          K            2.4        1.8
C8          E            5.         2.5
C9          I            
C10         H            0.9        0.7
C11         L            2.         0.7
C12                      
C13         G            
C14         N            2.4        1.1
C15                      1.2        0.5
C16                      
C17         M            1.5        0.7
C18                      0.6        0.3
C19                      0.7        0.6
C20                      2.5        0.4
C21                      0.7        0.5
C22                      
C23                      
LBG3                     1.         0.4

