label                Mgas                 Mdyn                 M*                 Mvir
    A 12.0000000000000000 115.0000000000000000 5.1428571428571432 514.2857142857143344
    B 11.1999999999999993  84.0000000000000000 4.7999999999999998 480.0000000000000000
    C  6.7000000000000002  14.0000000000000000 2.8714285714285719 287.1428571428572241
    D  8.4000000000000004 175.0000000000000000 3.6000000000000005 360.0000000000000568
    E  4.7999999999999998  24.0000000000000000 2.0571428571428574 205.7142857142857224
    F  3.3999999999999999 124.0000000000000000 1.4571428571428573 145.7142857142857224
    G  1.6000000000000001  12.0000000000000000 0.6857142857142858  68.5714285714285836
    H  4.4000000000000004  44.0000000000000000 1.8857142857142859 188.5714285714285552
    I  2.2000000000000002  53.0000000000000000 0.9428571428571429  94.2857142857142776
    J  2.2000000000000002  23.0000000000000000 0.9428571428571429  94.2857142857142776
    K  3.1000000000000001  15.0000000000000000 1.3285714285714287 132.8571428571428612
    L  3.2999999999999998  24.0000000000000000 1.4142857142857144 141.4285714285714448
    M  1.2000000000000000   4.0000000000000000 0.5142857142857143  51.4285714285714377
    N  1.0000000000000000   9.0000000000000000 0.4285714285714286  42.8571428571428612
