    label      Mgas Mgas_method                 Mgas_source        M* M*_method                   M*_source       Mvir          M     fgas    fdisk           RA           DEC        v   u_v            x           y           r
  SPIREc2  6.364852        CO43                   Hill_2020  2.727794  fgas=0.7                   Hill_2020  60.741605  69.834251 0.700000 0.130203  23:49:22.78   -56:35:28.4 -1326.00 35.00 -1144.439460 1230.087626 1680.681750
  SPIREc3  4.170075        CO43                   Hill_2020  1.787175  fgas=0.7                   Hill_2020  39.796224  45.753475 0.700000 0.130203  23:49:24.79   -56:35:12.8 -1274.00 21.00 -1028.349447 1339.287626 1695.689997
     LBG3  0.260000         SFR              Rotermund_2021  1.000000    SEDfit                   Hill_2021  22.267669  23.527669 0.206349 0.053554 23:49:42.703  -56:38:28.97      NaN   NaN     7.354533  -33.902374   37.143736
     LBG2  0.234000         SFR              Rotermund_2021  0.100286  fgas=0.7              Rotermund_2021   2.233129   2.567415 0.700000 0.130203 23:49:43.340  -56:38:29.90      NaN   NaN    44.132680  -40.412374   59.869137
 LAE-ID72  0.056780         SFR Rotermund_2021|Apostolovski  0.024334  fgas=0.7 Rotermund_2021|Apostolovski   0.541867   0.622981 0.700000 0.130203 23:49:42.198  -56:38:10.28   241.53  5.16   -21.803381   96.927626  106.213300
 LAE-ID21  0.012774         SFR                Apostolovski  0.005475  fgas=0.7                Apostolovski   0.121906   0.140154 0.700000 0.130203  23:49:41.28   -56:37:58.2    67.28  8.76   -74.818518  181.487626  203.421099
 LAE-ID56  0.004761         SFR                Apostolovski  0.002041  fgas=0.7                Apostolovski   0.045439   0.052241 0.700000 0.130203  23:49:44.26   -56:38:40.9   905.95 22.35    97.241236 -117.412374  152.784955
LAE-ID109  0.005955         SFR                Apostolovski  0.002552  fgas=0.7                Apostolovski   0.056829   0.065336 0.700000 0.130203  23:49:39.90  -56:38:12.22   532.33 22.48  -154.499657   83.347626  179.116229
 LAE-ID74  0.009101         SFR                Apostolovski  0.003901  fgas=0.7                Apostolovski   0.086855   0.099857 0.700000 0.130203  23:49:43.47  -56:37:02.37   170.40 21.74    51.682740  572.297626  653.860499
 LAE-ID91  0.008180         SFR                Apostolovski  0.003506  fgas=0.7                Apostolovski   0.078060   0.089745 0.700000 0.130203  23:49:40.96  -56:37:09.18   836.04 19.08   -93.326101  524.627626  574.847074
LAE-ID118  0.007968         SFR                Apostolovski  0.003415  fgas=0.7                Apostolovski   0.076044   0.087428 0.700000 0.130203  23:49:45.41  -56:37:28.70   879.51 11.96   163.729207  387.987626  503.427767
  A-north  0.041797         Cii                         Nik  0.017913  fgas=0.7                         Nik   0.398885   0.458595 0.700000 0.130203  23:49:42.57 -56:38:15.864   281.20  3.90    -0.322893   57.839626   64.595435
  A-south  0.105268         Cii                         Nik  0.045115  fgas=0.7                         Nik   1.004599   1.154981 0.700000 0.130203  23:49:42.58 -56:38:20.738   407.20 18.60     0.253913   23.721626   26.579816
   N-west  0.064631         Cii                         Nik  0.027699  fgas=0.7                         Nik   0.616794   0.709124 0.700000 0.130203  23:49:43.15 -56:38:22.193   -63.40  9.60    33.165547   13.536626   42.760577
   South5  0.025543         Cii                         Nik  0.010947  fgas=0.7                         Nik   0.243763   0.280253 0.700000 0.130203  23:49:42.67 -56:38:27.748   -60.60  6.60     5.449409  -25.348374   27.770998
  E-south  0.164481         Cii                         Nik  0.070492  fgas=0.7                         Nik   1.569686   1.804658 0.700000 0.130203  23:49:41.14 -56:38:26.678    16.10 18.10   -82.889748  -17.858374   98.626457
   F-east  0.059600         Cii                         Nik  0.025543  fgas=0.7                         Nik   0.568780   0.653923 0.700000 0.130203  23:49:41.53 -56:38:21.444   -85.40  9.40   -60.373548   18.779626   66.559396
